OBJECTID,CODCNH,NOMBRE,DIRECCION,TELEFONO,TELEFONO2,TELEFAX,CODMU,MUNICIPIOS,CODPROV,PROVINCIAS,CODAUTO,COMUNIDADES,CODPOSTAL,NCAMAS,CODFI,FINALIDAD_ASISITENCIAL,CODPAT,DEPENDENCIA_PATRIMONIAL,CODFU,DEPENDENCIA_FUNCIONAL,ACREDOCENT,ESCOMPLE,FORCOMPLE,CODIDCOM,ALTA,CERRADO,CAPITAL,CIERREFECH,CONCIERTO,EMAIL,TAC,RM,GAM,HEM,ASD,LIT,BCO,ALI,SPECT,PET,MAMOS,DO,DIAL,X,Y,CalidadGeocodificacion
11,020100,QUIRONSALUD HOSPITAL ALBACETE,"PLAZA DEL MADROÑO, 11",967247100,,967245183,020030,Albacete,02,ALBACETE,08,CASTILLA-LA MANCHA,02008,65,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,S,albacete@quironsalud.es,1,2,1,1,0,0,0,0,0,0,1,0,0,-1.84400678299994,38.985418844,PointAddress
12,020117,HOSPITAL UNIVERSITARIO NUESTRA SEÑORA DEL PERPETUO SOCORRO,"SEMINARIO, 4",967597799,,967597711,020030,Albacete,02,ALBACETE,08,CASTILLA-LA MANCHA,02006,0,1,GENERAL,1,SEGURIDAD SOCIAL,31,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,S,N,S,020019,N,N,S,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.87211015199995,38.989561838,Manual
13,020136,HOSPITAL GENERAL DE ALMANSA,"AVDA. ADOLFO SUÁREZ, S/N",967339526,967339529,967339546,020096,Almansa,02,ALBACETE,08,CASTILLA-LA MANCHA,02640,93,1,GENERAL,6,COMUNIDAD AUTÓNOMA,31,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,N,N,N,,N,N,N,,N,gai.almansa@sescam.jccm.es,1,0,0,0,0,0,0,0,0,0,2,0,0,-1.09390853199994,38.8794026050001,Manual
14,020147,HOSPITAL GENERAL DE VILLAROBLEDO,"AVENIDA MIGUEL DE CERVANTES, S/N",967133000,,967133002,020812,Villarrobledo,02,ALBACETE,08,CASTILLA-LA MANCHA,02600,114,1,GENERAL,6,COMUNIDAD AUTÓNOMA,31,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,N,N,N,,N,N,N,,N,,1,0,0,0,0,0,0,0,0,0,1,0,0,-2.60269739799998,39.2800841100001,Manual
15,020158,"CENTRO DE ATENCIÓN A LA SALUD MENTAL ""LA MILAGROSA""","TRAVESÍA DE LA IGUALDAD, S/N",967192350,,967248989,020030,Albacete,02,ALBACETE,08,CASTILLA-LA MANCHA,02006,0,6,PSIQUIÁTRICO,7,DIPUTACIÓN O CABILDO,31,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,S,N,S,020019,N,N,S,,N,,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.88065043699993,39.0076815960001,StreetName
16,030015,HOSPITAL GENERAL UNIVERSITARIO DE ALICANTE,"AVENIDA PINTOR BAEZA, 12",965933000,,965245971,030149,Alicante/Alacant,03,ALICANTE,10,COMUNIDAD VALENCIANA,03010,794,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,S,N,N,,N,N,S,,N,mena_lui@gva.es,3,2,0,2,5,1,0,0,0,0,2,1,32,-0.48593452199998,38.363363964,Manual
17,030036,CLÍNICA VISTAHERMOSA GRUPO HLA,"AVENIDA DENIA, 103",965268000,,965262405,030149,Alicante/Alacant,03,ALICANTE,10,COMUNIDAD VALENCIANA,03015,106,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,S,N,N,,N,N,S,,S,katja.smudde@grupohla.com,1,2,0,1,1,0,0,0,0,0,1,1,22,-0.463124377999975,38.3628653640001,PointAddress
18,030041,VITHAS HOSPITAL PERPETUO INTERNACIONAL,"PLAZA DOCTOR GÓMEZ ULLA, 15",965201100,,965144890,030149,Alicante/Alacant,03,ALICANTE,10,COMUNIDAD VALENCIANA,03013,103,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,S,perpetuosocorro@perpetuosocorro.nehos.com,1,1,1,1,0,0,0,0,0,0,1,1,10,-0.476504659999932,38.352893867,PointAddress
19,030067,HOSPITAL VIRGEN DE LOS LIRIOS,"POLÍGONO CARAMAXEL, S/N",965537400,,965537448,030092,Alcoy/Alcoi,03,ALICANTE,10,COMUNIDAD VALENCIANA,03804,305,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,S,N,N,,N,N,N,,N,falip_ros@gva.es,1,0,0,0,0,0,0,0,0,0,1,1,38,-0.465683971999965,38.7051247730001,Manual
20,030089,SANATORIO SAN JORGE S.L.,"CALLE OLIVER, 55",965330400,,965330400,030092,Alcoy/Alcoi,03,ALICANTE,10,COMUNIDAD VALENCIANA,03802,26,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,S,administracion@sanatoriosanjorge.com,1,0,0,0,0,0,0,0,0,0,1,1,0,-0.486100178999948,38.6929737350001,PointAddress
21,030092,HOSPITAL CLÍNICA BENIDORM,"AVENIDA ALFONSO PUCHADES, 8",965853850,,965864345,030319,Benidorm,03,ALICANTE,10,COMUNIDAD VALENCIANA,03501,166,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,S,N,N,,N,N,N,,S,hospital@clinicabenidorm.com,2,2,1,1,1,0,0,1,1,1,1,1,26,-0.127031808999959,38.5426678680001,StreetAddressExt
22,030128,HOSPITAL SAN CARLOS DE DENIA GRUPO HLA,"PARTIDA MADRIGUERES SUD, 8",965781550,,965789172,030633,Dénia,03,ALICANTE,10,COMUNIDAD VALENCIANA,03700,31,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,pedro.esteban@grupohla.com,1,1,0,0,0,0,0,0,0,0,1,1,0,0.0934203180000281,38.8373052420001,StreetAddressExt
23,030152,HOSPITAL GENERAL UNIVERSITARIO DE ELCHE,"CAMÍ ALMAZARA, 11",966616900,,966616707,030651,Elche/Elx,03,ALICANTE,10,COMUNIDAD VALENCIANA,03203,492,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,S,N,N,,N,N,N,,N,secgerencia_elx@gva.es,2,2,0,1,0,1,0,1,0,0,2,1,30,-0.685241062999978,38.2600928200001,Manual
24,030165,HOSPITAL GENERAL UNIVERSITARIO DE ELDA-VIRGEN DE LA SALUD,"CARRETERA SAX, S/N",966989000,966989010,965398173,030664,Elda,03,ALICANTE,10,COMUNIDAD VALENCIANA,03600,513,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,S,N,N,,N,N,N,,N,izquierdo_alf@gva.es,2,1,0,0,0,0,0,0,0,0,2,1,34,-0.805971980999971,38.4935283360001,Manual
25,030187,HOSPITAL SANT VICENT DEL RASPEIG,"CALLE LILLO JUAN, 137",965907700,,965907703,031225,San Vicente del Raspeig/Sant Vicent del Raspeig,03,ALICANTE,10,COMUNIDAD VALENCIANA,03690,179,13,GERIATRÍA Y/O LARGA ESTANCIA,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,N,N,N,,N,N,N,,N,hospitalsanvicente@gva.es,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.530502672999944,38.403364943,Manual
26,030190,SANATORIO SAN FRANCISCO DE BORJA FONTILLES,"CARRETERA ORBA-VALL DE LAGUAR, KM 4",965583350,,965583376,031376,"Vall de Laguar, la",03,ALICANTE,10,COMUNIDAD VALENCIANA,03791,96,13,GERIATRÍA Y/O LARGA ESTANCIA,13,OTRO PRIVADO BENÉFICO,22,OTRO PRIVADO-BENÉFICO,N,N,N,,N,N,N,,N,fontilles@fontilles.org,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136456657999929,38.771915,Postal
27,030204,HOSPITAL MARINA BAIXA DE LA VILA JOIOSA,"AVENIDA ALCALDE EN JAUME BOTELLA MAYOR, 7",966859800,,966859900,031395,"Villajoyosa/Vila Joiosa, la",03,ALICANTE,10,COMUNIDAD VALENCIANA,03570,286,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,S,N,N,,N,N,N,,S,louis_ros@gva.es,2,0,0,0,0,0,0,0,0,0,1,0,9,-0.198289258999978,38.5301280640001,Manual
28,030211,HOSPITAL VEGA BAJA DE ORIHUELA,"CARRETERA ORIHUELA - ALMORADÍ, S/N",966749000,,966749069,030993,Orihuela,03,ALICANTE,10,COMUNIDAD VALENCIANA,03314,361,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,S,N,N,,N,N,N,,N,,2,1,0,0,0,0,0,0,0,0,1,0,0,-0.853941504999966,38.0882077110001,Manual
29,030226,"HOSPITAL INTERNACIONAL MEDIMAR, S.A.","AVENIDA DENIA, 78",965162200,,965159038,030149,Alicante/Alacant,03,ALICANTE,10,COMUNIDAD VALENCIANA,03016,66,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,N,info@hospitalmedimar.com,1,1,1,1,0,1,0,0,0,1,1,1,0,-0.456596158999957,38.3714722340001,StreetAddressExt
30,030232,HOSPITAL PSIQUIÁTRICO PENITENCIARIO DE FONTCALENT,"COMPLEJO CENTRO PENITENCIARIO FONTCALENT, 1",965102222,965101230,965101761,030149,Alicante/Alacant,03,ALICANTE,10,COMUNIDAD VALENCIANA,03113,432,6,PSIQUIÁTRICO,4,MINISTERIO DE INTERIOR,14,ADMINISTRACIÓN PENITENCIARIA,N,N,N,,N,N,S,,N,director.alicantep@dgip.mir.es,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.602231920999941,38.3343175000001,Postal
31,030250,HOSPITAL UNIVERSITARIO SAN JUAN DE ALICANTE,"CARRETERA NACIONAL 332, ALICANTE-VALENCIA, S/N",965169400,,965169520,031199,Sant Joan d'Alacant,03,ALICANTE,10,COMUNIDAD VALENCIANA,03550,396,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,S,N,N,,N,N,N,,N,fernandez_asu@gva.es,2,0,2,1,0,0,0,2,0,0,1,0,0,-0.430915316999972,38.4062900000001,Postal
32,030279,CENTRO MÉDICO ACUARIO,"AVENIDA DEL VERGEL, 11",966476260,,966477115,030263,Beniarbeig,03,ALICANTE,10,COMUNIDAD VALENCIANA,03778,19,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,S,N,N,,N,acuario@acuario.org,1,0,0,0,0,0,0,0,0,0,1,1,0,0.00228185200006692,38.8265884460001,PointAddress
33,030298,HOSPÌTAL QUIRONSALUD TORREVIEJA,"PARTIDA DE LA LOMA, S/N",966921313,,966922706,031339,Torrevieja,03,ALICANTE,10,COMUNIDAD VALENCIANA,03184,132,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,S,antonio.domenech@quironsalud.es,2,1,1,1,0,0,0,1,0,1,1,1,0,-0.68721974999994,37.9963845,StreetName
34,030328,HOSPITAL IMED LEVANTE,"CALLE DR SANTIAGO RAMÓN Y CAJAL, 7",966878787,966878783,965861756,030149,Alicante/Alacant,03,ALICANTE,10,COMUNIDAD VALENCIANA,03503,100,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,S,info@hospitaldelevante.com,1,1,1,1,1,0,0,0,0,0,1,1,15,-0.105182876999947,38.5424209220001,StreetAddressExt
35,030339,HOSPITAL UNIVERSITARIO DE TORREVIEJA,"CARRETERA CV95 SAN MIGUEL DE SALINAS-TORREVIEJA PARTIDA LA CEÑUELA, S/N",965721200,,965721368,031339,Torrevieja,03,ALICANTE,10,COMUNIDAD VALENCIANA,03186,269,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,S,N,N,,N,N,N,,N,jdzafrilla@torrevieja-salud.com,1,1,0,1,0,0,0,0,0,0,1,1,40,-0.715745823999953,37.96333845,Manual
36,030340,HOSPITAL DE DENIA,"PARTIDA BENIADLÀ, S/N",966429000,,966427986,030633,Dénia,03,ALICANTE,10,COMUNIDAD VALENCIANA,03700,266,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,S,N,N,,N,N,N,,N,gerencia@marinasalud.es,2,1,0,1,1,0,0,0,0,0,1,1,26,0.059298138000031,38.834226416,Manual
37,030351,HOSPITAL LA PEDRERA,"PARTIDA PLANA D'EST, 4",966467170,966467177,966467287,030633,Dénia,03,ALICANTE,10,COMUNIDAD VALENCIANA,03700,107,13,GERIATRÍA Y/O LARGA ESTANCIA,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,N,N,N,,N,N,N,,N,direccion_hlapedrera@gva.es,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0962855270000205,38.8280655520001,Manual
38,030362,CENTRO DE REHABILITACIÓN NEUROLÓGICA CASAVERDE,"CALLE PONENT, 15",965950711,,965950865,030909,Mutxamel,03,ALICANTE,10,COMUNIDAD VALENCIANA,03110,40,11,REHABILITACIÓN PSICOFÍSICA,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,N,recepcion.muchamiel@grupocasaverde.com,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.469911158999935,38.4205918150001,PointAddress
39,030373,HOSPITAL UNIVERSITARIO VINALOPO,"TONICO SANSANO MORA, 14",966679800,,966632102,030651,Elche/Elx,03,ALICANTE,10,COMUNIDAD VALENCIANA,03293,214,1,GENERAL,6,COMUNIDAD AUTÓNOMA,5,CONSELLERIA DE SANIDAD. G. VALENCIANA,N,N,N,,N,N,N,,N,narques@vinaloposalud.com,1,1,0,1,2,1,0,0,1,1,1,1,27,-0.716007419999926,38.25534043,Manual
40,030384,HOSPITAL IMED ELCHE,"CALLE MAX PLANCK, S/N",966915151,966878783,966651341,030651,Elche/Elx,03,ALICANTE,10,COMUNIDAD VALENCIANA,03203,98,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,N,,S,oaparisi@imedhospitales.com,1,1,0,1,1,1,0,1,0,0,1,1,0,-0.619072321999965,38.2872604250001,StreetName
41,040010,HOSPITAL TORRECÁRDENAS,"PARAJE DE TORRECÁRDENAS, S/N",950016114,,950016120,040139,Almería,04,ALMERÍA,01,ANDALUCÍA,04009,0,1,GENERAL,6,COMUNIDAD AUTÓNOMA,2,SERVICIO ANDALUZ DE SALUD,S,N,S,040097,N,S,S,,N,anna.torres.sspa@juntadeandalucia.es,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44117664699996,36.8625943370001,Manual
42,040031,HOSPITAL DE LA CRUZ ROJA,"CTRA. DE RONDA, KM. 196",950017400,,950017453,040139,Almería,04,ALMERÍA,01,ANDALUCÍA,04008,0,1,GENERAL,6,COMUNIDAD AUTÓNOMA,2,SERVICIO ANDALUZ DE SALUD,N,N,S,040097,N,N,S,,N,anna.torres.sspa@juntadeandalucia.es,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45159449699997,36.8483476700001,Manual
43,040059,HOSPITAL VIRGEN DEL MAR,"CARRETERA DEL MAMÍ, KM.1",950210100,,950290625,040139,Almería,04,ALMERÍA,01,ANDALUCÍA,04009,76,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,S,virgendelmar@vithas.es,1,1,1,1,0,1,0,0,0,0,1,1,10,-2.44158688699997,36.846256694,PointAddress
44,040084,HOSPITAL LA INMACULADA,"AVDA. DRA. ANA PARRA, S/N",950029176,,950451040,040530,Huércal-Overa,04,ALMERÍA,01,ANDALUCÍA,04600,184,1,GENERAL,6,COMUNIDAD AUTÓNOMA,2,SERVICIO ANDALUZ DE SALUD,S,N,N,,N,N,N,,N,h.inmaculada.sspa@juntadeandalucia.es,1,0,0,0,0,0,0,0,0,0,1,0,1,-1.94182956099996,37.4010425220001,Manual
45,040097,HOSPITAL UNIVERSITARIO TORRECÁRDENAS,"PARAJE DE TORRECÁRDENAS, S/N",950016114,,950016120,040139,Almería,04,ALMERÍA,01,ANDALUCÍA,04009,763,1,GENERAL,6,COMUNIDAD AUTÓNOMA,2,SERVICIO ANDALUZ DE SALUD,S,S,N,,N,N,S,,N,,5,1,2,0,2,0,1,2,0,0,1,2,56,-2.44676488199997,36.862522305,StreetName
46,040101,HOSPITAL MEDITERRÁNEO,"NUEVA MUSA, S/N",950621063,,950260894,040139,Almería,04,ALMERÍA,01,ANDALUCÍA,04007,89,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,S,jarojas@asisa.es,1,2,0,1,0,0,0,0,0,0,1,1,0,-2.43622418699994,36.820818758,StreetName
47,040118,HOSPITAL DE PONIENTE,"CRTA. DE ALMERIMAR, S/N",950022568,,950022602,049026,"Ejido, El",04,ALMERÍA,01,ANDALUCÍA,04700,273,1,GENERAL,6,COMUNIDAD AUTÓNOMA,2,SERVICIO ANDALUZ DE SALUD,N,N,N,,N,N,N,,N,sugerencias@ephpo.es,1,1,0,0,0,0,0,0,0,0,2,0,20,-2.80315336199993,36.753204591,Manual
48,040127,HOSPITAL DE ALTA RESOLUCIÓN EL TOYO,CAMINO DE LA BOTICA S/N. RETAMAR,950158015,,950158020,040139,Almería,04,ALMERÍA,01,ANDALUCÍA,04131,44,1,GENERAL,6,COMUNIDAD AUTÓNOMA,15,COMUNIDAD AUTÓNOMA,N,N,N,,N,N,S,,N,sugerencias@ephpo.es,1,0,0,0,0,0,0,0,0,0,1,0,0,-2.31270496099995,36.8507955330001,Manual
49,050013,HOSPITAL NUESTRA SEÑORA DE SONSOLES,"AV. JUAN CARLOS I, S/N",920358000,,920358064,050198,Ávila,05,ÁVILA,07,CASTILLA Y LEÓN,05071,0,1,GENERAL,1,SEGURIDAD SOCIAL,35,SANIDAD CASTILLA Y LEÓN-SACYL,S,N,S,050061,N,N,S,,N,gerente.hnss@saludcastillayleon.es,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.66684443499997,40.6657735160001,Manual
50,050034,HOSPITAL PROVINCIAL DE ÁVILA,"JESÚS DEL GRAN PODER, 42",920357200,,920357203,050198,Ávila,05,ÁVILA,07,CASTILLA Y LEÓN,05003,0,1,GENERAL,6,COMUNIDAD AUTÓNOMA,35,SANIDAD CASTILLA Y LEÓN-SACYL,N,N,S,050061,N,N,S,,N,gerente.hnss@saludcastillayleon.es,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.69258059499998,40.6498453730001,Manual
51,050049,CLÍNICA SANTA TERESA,"AV. SANTA CRUZ DE TENERIFE, 11",920252525,920221450,920222342,050198,Ávila,05,ÁVILA,07,CASTILLA Y LEÓN,05005,33,1,GENERAL,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,N,N,S,,S,direccion@clinicasantateresa.es,1,1,0,0,0,0,0,0,0,0,1,1,0,-4.68613007899995,40.659390253,StreetAddress
52,050061,COMPLEJO ASISTENCIAL DE AVILA,"AVDA. JUAN CARLOS I, S/N",920358000,,920358064,050198,Ávila,05,ÁVILA,07,CASTILLA Y LEÓN,05071,430,1,GENERAL,9,ENTIDADES PÚBLICAS,35,SANIDAD CASTILLA Y LEÓN-SACYL,S,S,N,,N,N,S,,N,gerente.hnss@saludcastillayleon.es,2,1,0,0,1,0,0,0,0,0,2,1,19,-4.65236210299997,40.670384359,StreetName
53,050072,HOSPITAL DE SALUD MENTAL CASTA SALUD ARÉVALO,"PASEO SAN JUAN BOSCO, 2",920301400,609196989,920300951,050163,Arévalo,05,ÁVILA,07,CASTILLA Y LEÓN,05200,80,6,PSIQUIÁTRICO,14,PRIVADO NO BENÉFICO,23,PRIVADO NO BENÉFICO,N,N,N,,S,N,N,,S,direccionarevalo@castasalud.com,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.71677207999994,41.0448778470001,StreetAddressExt
54,060016,COMPLEJO HOSPITALARIO UNIVERSITARIO DE BADAJOZ,"AVDA. DE ELVAS, S/N",924218100,924218111,924218126,060153,Badajoz,06,BADAJOZ,11,EXTREMADURA,06080,915,1,GENERAL,6,COMUNIDAD AUTÓNOMA,32,SERVICIO EXTREMEÑO DE SALUD-SES,S,S,N,,N,N,S,,N,admision.hifc@salud-juntaex.es,6,3,0,2,2,0,0,3,3,1,2,1,50,-7.01404083799997,38.8815659730001,StreetName
55,060021,HOSPITAL UNIVERSITARIO DE BADAJOZ,"AVDA. DE ELVAS, S/N",924218100,924218111,924218126,060153,Badajoz,06,BADAJOZ,11,EXTREMADURA,06080,0,1,GENERAL,6,COMUNIDAD AUTÓNOMA,32,SERVICIO EXTREMEÑO DE SALUD-SES,S,N,S,060016,N,N,S,,N,admision.hifc@salud-juntaex.es,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.00109820999995,38.8844827790001,Manual
56,060037,HOSPITAL MATERNO INFANTIL,"LA VIOLETA, 1",924215000,,924215054,060153,Badajoz,06,BADAJOZ,11,EXTREMADURA,06010,0,5,MATERNO-INFANTIL,6,COMUNIDAD AUTÓNOMA,32,SERVICIO EXTREMEÑO DE SALUD-SES,S,N,S,060016,N,N,S,,N,dirmed.hpshmi@salud-juntaex.es,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.97107178199997,38.8658347890001,StreetAddress
